"Bolagsnamn";"Info";"Börsvärde";"Aktiekurs";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kurs / MA";"Kurs / MA"
"";"Lista";"Senaste";"Senaste";"Utveck.  3m";"Utveck.  6m";"Utveck.  1 år";"MA 50d";"MA 200d"
"AAK";"Large Cap";46762,0703125;184,300003051758;0,0996419811248779;0,0866745090484619;0,113931741714478;0,0884844017028809;0,091740608215332
"ABB";"Large Cap";523528;248;0,0901098918914795;0,118124418258667;0,191162357330322;0,0212653875350952;0,0949820327758789
"Active Biotech";"Small Cap";232,377593994141;1,60000002384186;-0,0037359419465065;-0,336099586486816;-0,384615364074707;-0,0656170272827148;-0,244951782226563
"Addnode";"Mid Cap";8273,1826171875;247,5;0,0143442618846893;0,210268955230713;0,410256423950195;-0,0721301460266113;0,116877193450928
"Addtech";"Large Cap";34430,8515625;128;0,18518518447876;0,135254993438721;0,841726608276367;0,0841945457458496;0,190809020996094
"Alfa Laval";"Large Cap";112414,203125;268;0,218181819915771;0,282296657562256;0,240166549682617;0,125738258361816;0,257209548950195
"Anoto";"Small Cap";144,544403076172;0,879999995231628;-0,0265486598014832;-0,110212364196777;-0,163498134613037;0,0162601470947266;-0,201198215484619
"Arise Windpower";"Small Cap";1685,40905761719;48,2000007629395;0,226463146209717;0,299191455841064;0,229591827392578;0,0133287906646729;0,191270713806152
"Assa Abloy";"Large Cap";242038,09375;217,899993896484;0,0702356958389282;0,0787128400802612;0,0139599812030792;0,026339054107666;0,0653159618377686
"AstraZeneca";"Large Cap";1079907;823,099975585938;-0,0862566757202148;-0,142604188919067;-0,0211678528785706;-0,0288020372390747;-0,125743808746338
"Atlas Copco A";"Large Cap";603203;496,299987792969;0,14566014289856;0,240439834594727;0,463580017089844;0,0692664384841919;0,178914432525635
"Atrium Ljungberg";"Large Cap";21874,890625;164,199996948242;-0,0497685527801514;0,301109352111816;-0,160531730651855;0,00109744071960449;0,0902764797210693
"Autoliv";"Large Cap";67995,578125;771,799987792969;-0,0033574852347374;0,140366430282593;0,187019329071045;0,0118464231491089;0,119941711425781
"Avanza";"Large Cap";41690,26171875;270,600006103516;0,400621185302734;0,631103172302246;1,84542602539063;0,0983391952514648;0,45606388092041
"Axfood";"Large Cap";42477,890625;202,399993896484;0,0536178398132324;0,0563673686981201;0,130410442352295;0,0186312198638916;0,00941085815429688
"Bergman & Beving";"Mid Cap";2751,42700195313;103,800003051758;0,194476432800293;0,276752758026123;0,419972724914551;0,0132958889007568;0,224641571044922
"BE Group";"Small Cap";573,857421875;44,2000007629395;0,315476264953613;0,33939395904541;0,270114994049072;0,0913041877746582;0,298987503051758
"Beijer Ref";"Large Cap";46977,7109375;369,399993896484;0,265068473815918;0,0707246208190918;0,424055519104004;0,0168465375900269;0,160146713256836
"Beijer Alma";"Mid Cap";9232,138671875;153,199996948242;0,221690559387207;0,231511211395264;0,309401683807373;0,0984598350524902;0,259599094390869
"Beijer Electronics";"Small Cap";1231,27294921875;43,0499992370605;0,0642768478393555;0,0499999809265137;-0,0701943874359131;0,0143015384674072;0,0450423955917358
"Bergs Timber";"Small Cap";1357,36096191406;3,96000003814697;0,389473762512207;0,450549468994141;0,791855163574219;0,20269702911377;0,412494888305664
"Betsson";"Large Cap";9748,0595703125;71,0500030517578;-0,0589403581619263;-0,015927894115448;0,459531707763672;-0,0788518190383911;0,00214469432830811
"Bilia";"Mid Cap";11510,349609375;115;0,215002613067627;0,130776824951172;0,241900672912598;0,097663402557373;0,16238224029541
"BillerudKorsnäs";"Large Cap";32755,5390625;158,399993896484;0,133452548980713;0,0779176378250122;0,357326469421387;0,0469127893447876;0,104588985443115
"BioGaia";"Mid Cap";7606,22998046875;426;-0,121649484634399;-0,260416660308838;-0,0251716256141663;-0,11768364906311;-0,162023544311523
"Bioinvent";"Small Cap";2033,77001953125;51,6500015258789;0,211019916534424;0,401628303527832;0,65015983581543;-0,00390338897705078;0,197852020263672
"Biotage";"Mid Cap";10158,3203125;155,800003051758;0,133915643692017;-0,0720666551589966;0,36906852722168;0,0533574819564819;0,0245417356491089
"Björn Borg";"Small Cap";499,439300537109;19,8600006103516;0,150637331008911;0,125850410461426;0,00607906997203827;0,0141448974609375;0,197420711517334
"Boliden";"Large Cap";92692,8828125;338,899993896484;0,136485509872437;0,290555934906006;0,70816535949707;0,122252349853516;0,293717613220215
"Bong Ljungdahl";"Small Cap";104,335296630859;0,493999987840652;-0,0608365678787231;-0,0237154054641724;-0,337801628112793;-0,0848462581634521;-0,09183669090271
"Brinova";"Mid Cap";2582,63989257813;30,6000003814697;0,0625000429153442;0,0408163547515869;0,0662020778656006;0,0162736177444458;0,084798698425293
"BTS Group";"Mid Cap";4955,06689453125;256,5;0,230215835571289;0,14;0,110389614105225;0,0715628862380981;0,210439567565918
