,SAAB-B.ST,SAAB-B.ST,SAAB-B.ST,SAAB-B.ST,SAAB-B.ST,FING-B.ST,FING-B.ST,FING-B.ST,FING-B.ST,FING-B.ST
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2000-01-01,41.08688117878524,48.53388814155684,33.1262928638999,44.16840744018555,6857503.0,47.175142746563104,219.83616519898408,35.85310848738796,121.71186828613281,3854308.0
2000-04-01,44.168391266174396,46.222707444867076,36.20780798574608,38.00533676147461,4139961.0,135.86441332673374,159.45198508484722,56.61017221947239,68.8757095336914,1045500.0
2000-04-11,,,,,,,,,,
2000-07-01,41.852239197095464,43.1766572493713,38.40868755026974,40.52781677246094,2820987.0,75.480224609375,104.72881164550782,37.83446114577819,80.19773864746094,3463341.0
2000-10-01,40.26292798086185,42.38199999765377,34.170482251278834,41.32246398925781,6987973.0,81.14124592867765,136.80791464718908,8.038644795998236,10.378531455993652,9979465.0
2001-01-01,41.32246398925781,48.20955735277987,37.61403111921883,41.32246398925781,7000265.0,10.378531331472788,11.699434959197005,4.906214631282794,7.151751518249512,5503435.0
2001-04-01,41.58734685109183,56.95084234947685,40.262928993466986,54.03706359863281,5460810.0,7.170621343990881,8.114124614147338,3.679661088990527,3.868361473083496,2330750.0
2001-04-05,,,,,,,,,,
2001-07-01,56.263801898271446,61.77972308221693,45.78325300264483,49.09290313720703,7127852.0,4.1514126849594435,5.189265743724999,2.64180796999755,3.2079098224639893,2326690.0
2001-10-01,47.98971251121089,54.88481521606445,46.61071837493202,54.88481521606445,15205727.0,3.3966102287179702,8.114125010139384,2.7738984809238896,6.132768630981445,7141945.0
2002-01-01,54.884805043462414,69.50233502715392,51.57515508384918,66.19298553466797,4883638.0,6.132768639961423,9.284068362001019,5.4723168125398525,7.359322547912598,2548445.0
2002-04-01,66.1929952867521,71.98465935713736,62.33168711255853,64.81340026855469,7286398.0,7.359322230446527,7.90655379811462,2.8305084809567864,3.585310697555542,2020360.0
2002-04-09,,,,,,,,,,
2002-07-01,67.08853416208693,76.75379260565927,48.326367295265044,50.60051345825195,6516613.0,3.736271262057276,3.736271262057276,1.4907345195774886,1.651129961013794,2019220.0
2002-10-01,49.46344064389877,58.84443307235172,46.05215787263054,54.58034133911133,6595338.0,1.5850847743316743,4.623164159455523,1.3209039973554464,2.98146915435791,2905755.0
2003-01-01,54.580360622090055,54.580360622090055,46.62071208737254,51.7376708984375,7062579.0,2.981469003278657,3.283389843816811,2.3021469433563575,2.8305084705352783,1451405.0
2003-04-01,49.747717063752866,63.67694720690129,49.46344581592535,60.83432388305664,4976727.0,2.962599068765284,3.3211300373077393,2.566327797001182,3.3211300373077393,4411945.0
2003-04-08,,,,,,,,,,
2003-07-01,63.6011973571926,69.2215618632352,59.45972220129328,64.78433227539062,10641558.0,3.2079099191682707,5.0005655019297075,3.1135594951053105,4.000452041625977,3288350.0
2003-10-01,65.0800042154816,67.74247225272075,59.16389144498938,64.48863220214844,10024368.0,4.1891525903798765,7.076271176338196,4.1891525903798765,5.661016941070557,10214875.0
2004-01-01,64.488637694857,65.08000975855924,57.38894042852127,58.572265625,8991355.0,5.6610171922197745,6.547909939655206,4.906214719964915,5.019435405731201,4524615.0
2004-03-31,,,,,,,,,,
2004-04-01,60.830262772909116,64.8241111083092,60.52298008547207,63.59523391723633,7647290.0,5.151525560846438,5.830847410125245,3.3400000295733325,3.7740113735198975,1978205.0
2004-07-01,63.28802188758286,68.20372879522597,59.90854596975445,61.444705963134766,5514346.0,3.7740113394601003,5.66101700919015,2.0757062816927765,3.302259922027588,6227260.0
2004-10-01,61.291076931754944,73.42616932370728,60.983794312100436,70.96881103515625,8473707.0,3.3022600287948682,3.4909606468585834,2.170056545361191,2.5097177028656006,6585065.0
2005-01-01,70.66106186764209,75.88418686466869,69.12496825323,70.96881103515625,32153404.0,2.53802266418092,2.9625989822512966,2.075706268939595,2.7172882556915283,9781460.0
2005-04-01,70.66106955037688,78.64929780082885,68.51080094313834,77.72737884521484,11448264.0,2.6418079121430065,3.000339100014922,0.8491525351549446,1.1605085134506226,46297430.0
2005-04-07,,,,,,,,,,
2005-07-01,80.49463696682464,84.63094732733813,74.44951640828995,83.67620086669922,6444640.0,1.1322034398714702,1.3963842050167126,1.0001129448245472,1.3586441278457642,14026120.0
2005-10-01,83.67619895364909,109.44744679337698,83.67619895364909,108.1746826171875,12382949.0,1.358644151687622,2.5474577281771396,1.3209039613800966,2.26440691947937,42144975.0
2006-01-01,106.90189406503049,125.99198690843245,101.81153174766187,124.71922302246094,9245427.0,2.26440691947937,5.1326555341875,2.2549719000210646,4.52881383895874,33494750.0
2006-04-01,125.99200494694799,127.26476901514356,98.31195980492294,116.44730377197266,10573077.0,4.509943841900697,4.679774193726457,3.019209179012096,4.132542610168457,7691335.0
2006-04-06,,,,,,,,,,
2006-07-01,119.1393682443892,120.76693157701288,105.79280945486478,119.79010772705078,6643475.0,4.151412660872335,10.567231818677561,3.6796612323617794,7.982034206390381,40973120.0
2006-10-01,119.79007246879512,141.9251701427391,115.88350896413253,136.7171173095703,14575073.0,8.019773951225003,8.850056538856569,2.849378491733466,3.0569491386413574,77985290.0
2007-01-01,136.7171249248408,140.94835443124296,114.58203676420395,122.39445495605469,12672409.0,3.056949259890117,8.472655207917096,2.9059887220744356,6.6988701820373535,168625515.0
2007-04-01,123.37057821890781,133.46201940918303,109.37328227731608,118.48789978027344,17413238.0,6.717740441734883,7.15175180537648,4.057062590598493,4.226892948150635,45588650.0
2007-04-13,,,,,,,,,,
2007-07-01,120.0837919783614,130.42480118724004,95.06664044079484,101.73788452148438,15727737.0,4.226892673363119,5.566666756646108,3.207909694499215,3.641920804977417,39665940.0
2007-10-01,101.73788790226953,110.74376763305055,77.72097894509828,86.39344787597656,19166020.0,3.6230508115393203,3.9249716562637786,1.8775706538199308,2.490847587585449,35104300.0
2008-01-01,86.39344952933739,105.74033918288482,80.88989173836379,100.07007598876953,20283830.0,2.490847628687081,3.7551413696036833,1.6605650108085175,1.7454802989959717,50791930.0
2008-04-01,100.0700802520089,120.0838033827745,96.40104156838282,101.40447235107422,14556301.0,1.7077400366488782,2.4153671460286605,1.6983050175217582,2.160621404647827,11608705.0
2008-04-16,,,,,,,,,,
2008-07-01,104.57625266641884,116.27224379254109,68.1120642253639,72.4120101928711,15750148.0,2.1134464713813252,2.5663278741736533,1.245423857678902,1.320904016494751,22431995.0
2008-10-01,73.61598875905649,74.82011937344645,35.0879797567201,49.192012786865234,16153353.0,1.320903928195924,1.566214652897697,0.415141239396189,0.4868474304676056,21394095.0
2009-01-01,49.19201819999263,60.02802520702757,34.57198882719266,34.743988037109375,12613871.0,0.4868474262496913,1.4907344862121708,0.4717514068738679,0.7434802055358887,53532940.0
2009-04-01,35.43204928930886,48.160029232207215,34.12483612543885,40.59205627441406,15832464.0,0.754802303002429,1.3586441791466641,0.717062168169304,0.773672342300415,69915640.0
2009-04-17,,,,,,,,,,
2009-07-01,43.4349476273736,65.2410607752472,40.24377649976143,59.21336364746094,11970997.0,0.7585763182031393,1.3020339420735267,0.6415819514363564,0.7812203764915466,81865970.0
2009-10-01,58.85871299100644,85.27457236845906,56.55403784422947,83.67894744873047,13328690.0,0.7548022805226008,0.9057627028848301,0.5661017244512384,0.6227118968963623,88664110.0
2010-01-01,83.67895168304267,91.30188727106467,67.72302357752629,78.00527954101562,15926650.0,0.6227118882621075,1.500169520876502,0.6227118882621075,1.4152542352676392,180109280.0
2010-04-01,77.2964529449897,84.38776868030692,63.184539794921875,63.184539794921875,15089465.0,1.4529944006021736,1.9624859202991833,1.1510735416981337,1.3492090702056885,250011780.0
2010-04-16,,,,,,,,,,
2010-07-01,64.5024679145619,75.40385841979196,60.91701837494346,70.76803588867188,10612615.0,1.3492090584085934,2.0002259820542116,1.1416385119048686,1.7549153566360474,145320765.0
2010-10-01,70.94911190729405,90.46998282455178,67.76202276700637,89.09403991699219,8104824.0,1.7360452825409147,2.019096206174646,1.5567796863254544,1.6888700723648071,98549860.0
2011-01-01,89.09403073997967,101.69771477844995,82.93675232361278,99.66905975341797,10240014.0,1.6605650108085175,1.7549153185196547,1.3209039705330066,1.3963842391967773,62926915.0
2011-04-01,98.87218144145447,112.27275995624532,95.46836050116065,104.8116226196289,13497452.0,1.3963842295208435,1.528474614411423,0.9623728845415803,1.132203459739685,73567075.0
2011-04-08,,,,,,,,,,
2011-07-01,108.67369519585364,108.67369519585364,82.62208853623669,92.44719696044922,12809942.0,1.207683610552557,1.5190395888482349,0.864248611217285,1.1605085134506226,111949775.0
2011-10-01,91.33036758606124,102.49614124971055,77.56039449358384,101.52828216552734,12866384.0,1.160508497888118,1.8964406776552118,1.0378531345936024,1.7643502950668335,82019045.0
2012-01-01,105.69682790939137,111.87435740743335,89.39545899879982,91.92621612548828,9685659.0,1.9530509019237459,1.9530509019237459,1.1888136218164476,1.3775142431259155,114027795.0
2012-04-01,92.67023006612699,93.86113133356277,75.17852367999403,87.31159210205078,10823809.0,1.3869492766725313,1.5001696280840504,0.9718079506721916,1.0001130104064941,31280240.0
2012-04-20,,,,,,,,,,
2012-07-01,90.38633129811535,100.55796581422645,84.63985328807111,97.84054565429688,8112835.0,1.0001129583554385,1.245423800708408,0.4811864403369454,1.1605085134506226,110684510.0
2012-10-01,96.83086031714305,106.84792873879977,93.33643203086085,104.90667724609375,7006396.0,1.1605084731197686,2.905988579871369,0.9623728472287936,2.3304519653320312,134242170.0
2013-01-01,104.90667891155226,114.84646452379309,104.20779324320058,109.48806762695312,6749019.0,2.330452089976028,7.321582405724687,2.330452089976028,6.5290398597717285,545461175.0
2013-04-01,109.48806941572546,114.14759353781466,97.84054726680986,99.47100067138672,5503508.0,6.52903967861996,14.011017434852832,5.170395544638592,10.803107261657715,452697170.0
2013-04-18,,,,,,,,,,
2013-07-01,103.35320069976137,112.37597163892592,92.63898473816049,103.51441955566406,8110031.0,10.425707007031763,16.60565105281213,6.717740399604649,9.906780242919922,742598610.0
2013-10-01,101.82296005393377,144.59791526148612,99.72804601151404,138.95889282226562,10110579.0,9.812429189042636,13.020339389156348,7.5668932186957925,10.237006187438965,471392455.0
2014-01-01,138.95890097958247,159.1786651611328,126.47306708520446,159.1786651611328,13518878.0,10.237006101655172,12.312712155043965,8.680225886767763,10.189830780029297,209447500.0
2014-04-01,159.33988548017314,170.85929780279832,141.77885839358046,165.38150024414062,12656245.0,10.189831204637715,10.708757964557101,8.510396343253467,9.359548568725586,75306620.0
2014-04-09,,,,,,,,,,
2014-07-01,169.72610569649632,173.0291977342164,142.05772873321865,146.51783752441406,9488762.0,9.359548171460927,10.142655450542517,4.81186435632445,6.887570858001709,298550400.0
2014-10-01,146.60002780501856,175.3423416158171,134.29365272711323,167.08328247070312,10782414.0,6.830960149153141,8.453785239214154,5.585536724112623,6.566779613494873,203502280.0
2015-01-01,167.083287216293,194.09050613704716,153.62076753575033,190.37374877929688,12569417.0,6.566779644438051,10.614406694686865,5.321355763631799,10.095479965209961,292285380.0
2015-04-01,192.025744456231,197.8894634604831,163.8615078081561,167.41297912597656,14944043.0,10.048304872703426,36.7966107110072,9.576553453331538,33.68305206298828,829480920.0
2015-04-16,,,,,,,,,,
2015-07-01,172.18887630853766,193.62802171525084,160.37177668631904,189.06991577148438,12590119.0,34.15480393916849,234.9322099893343,27.55028397962897,58.308475494384766,1114926935.0
2015-10-01,189.49267872788013,230.1759285014472,185.18748985266564,220.1320343017578,16798613.0,59.440679390500435,128.31638725568348,50.19435220514703,111.52203369140625,1213439205.0
2016-01-01,220.1320496728404,238.02569115863074,192.02466198606584,234.98695373535156,16088116.0,111.52202869869181,113.22033662744556,59.195367583687585,89.08553314208984,816052495.0
2016-04-01,232.1171468174019,242.66872860443868,209.58138624771834,221.2295684814453,15665094.0,88.63266295008236,112.18249399749267,69.5833374780432,76.706787109375,608490858.0
2016-04-15,,,,,,,,,,
2016-05-27,,,,,,,,,,
2016-07-01,228.47008320091723,285.2973181437399,227.09070594330134,284.83099365234375,18727607.0,77.50876082724253,110.10678008510801,76.75395566536767,94.82203674316406,536159728.0
2016-10-01,263.21497988630637,320.36491771404616,258.64594492758675,293.5633850097656,16123973.0,95.29378735414168,95.76553877668694,54.0155378814318,59.29915237426758,498903427.0
2017-01-01,293.5633994740642,326.58383638660547,292.7874348181301,326.1520080566406,14187855.0,59.44067586219126,63.68643842377635,27.64463107004075,34.09819030761719,766666837.0
2017-04-01,326.3245382295249,410.4587877731885,323.3074042289355,358.6557312011719,24852742.0,34.43785480744209,36.04181040872017,26.51243104729101,29.031583786010742,636981831.0
2017-04-06,,,,,,,,,,
2017-04-21,,,,,,,,,,
2017-07-01,364.9562358189314,391.2003652525658,307.71809431387265,389.685546875,25350925.0,30.889999389648438,41.869998931884766,21.34000015258789,22.809999465942383,780361913.0
2017-10-01,361.98057137559033,386.0480938660985,346.5768022407221,349.203125,15586188.0,22.899999618530273,23.920000076293945,15.609999656677246,15.8100004196167,671750487.0
2018-01-01,349.2031517085814,359.9677849598736,290.5647470202813,330.73663330078125,20286099.0,15.8100004196167,17.729999542236328,7.8429999351501465,8.050000190734863,572379735.0
2018-04-01,330.73659424737014,347.0151487223772,294.4151636570482,325.5729675292969,19482837.0,8.050000190734863,8.489999771118164,5.874000072479248,6.8480000495910645,397080011.0
2018-04-11,,,,,,,,,,
2018-07-01,327.6543687418691,414.1411766300445,311.4045992599577,396.9145202636719,18651408.0,6.800000190734863,13.0,6.043000221252441,9.78600025177002,426984013.0
2018-10-01,399.84519342549027,410.234609285504,286.6308154646184,295.6600646972656,35732330.0,9.78600025177002,13.918000221252441,7.755000114440918,10.12600040435791,542992027.0
2019-01-01,295.66004068188863,335.13902040415127,277.313387716588,286.1505126953125,23734158.0,10.12600040435791,22.985000610351562,9.868000030517578,13.258000373840332,1122626897.0
2019-04-01,288.1677032746309,322.74782766758665,253.97179662325448,290.28094482421875,21284923.0,13.279999732971191,20.950000762939453,12.300000190734863,16.450000762939453,836160277.0
2019-04-12,,,,,,,,,,
2019-07-01,297.000611062505,310.64684797847167,252.35790387526703,275.45904541015625,19971262.0,16.65999984741211,21.1200008392334,14.350000381469727,19.959999084472656,600071931.0
2019-10-01,275.55651972859914,324.5854867612251,251.48064740058882,305.8706359863281,23154935.0,19.969999313354492,22.43000030517578,13.78499984741211,18.8799991607666,569328235.0
2020-01-01,305.8706453017561,336.18479222915136,157.37035268180435,186.1249237060547,38680023.0,18.8799991607666,21.420000076293945,9.300000190734863,13.15999984741211,436904291.0
2020-04-01,183.10326617710373,256.5492697743333,175.50035966358882,226.7224884033203,37542160.0,12.895000457763672,20.3700008392334,12.670000076293945,16.905000686645508,312593626.0
2020-04-02,,,,,,,,,,
2020-07-01,234.1999969482422,293.6000061035156,229.6999969482422,264.5,23844983.0,16.940000534057617,23.979999542236328,13.149999618530273,17.8799991607666,405372318.0
2020-10-01,265.5,277.8999938964844,203.3000030517578,236.39999389648438,26716781.0,17.959999084472656,18.520000457763672,14.21500015258789,15.579999923706055,267149326.0
2020-12-04,236.6999969482422,241.8000030517578,236.1999969482422,241.39999389648438,453552.0,15.520000457763672,15.819999694824219,15.420000076293945,15.819999694824219,2354856.0
